rang,franska,ordklass,genus,svenska,mening_franska,mening_svenska,bonusord,notering
362,bleu / bleue,adjektiv,,blå,Le ciel est bleu !,Himlen är blå!,,les Bleus = franska landslaget
363,vert / verte,adjektiv,,grön,"C'est vert, on y va !","Det är grönt, nu kör vi!",,"vert/verre/vers – tre ord, samma ljud"
364,jaune,adjektiv,,gul,"La maison jaune, là-bas !","Det gula huset, där borta!",,gilet jaune = gul väst
365,couleur,substantiv,f,färg,C'est ta couleur préférée ?,Är det din favoritfärg?,préféré(e) = favorit-,feminint; av préférer som du redan kan
366,feu,substantiv,m,eld; trafikljus,"Au feu rouge, à droite.","Vid rödljuset, till höger.",,Au feu ! = Elden är lös!
367,été,substantiv,m,sommar,"En été, on est en Suède.",På sommaren är vi i Sverige.,,été = även participet varit: j'ai été = jag har varit!
368,hiver,substantiv,m,vinter,L'hiver est long en Suède !,Vintern är lång i Sverige!,,en hiver = på vintern
369,printemps,substantiv,m,vår,Kalle est né au printemps !,Kalle föddes i våras!,né = född (av naître),est né = être-dåtid; au printemps men en été/hiver/automne
370,automne,substantiv,m,höst,"En automne, je parle français !",I höst pratar jag franska!,,"HELA PROJEKTET; uttal [åtånn], m tyst"
371,sympa,adjektiv,,"trevlig, schysst",Les Français sont sympas !,Fransmännen är trevliga!,,kortform av sympathique ≈ sympatisk; samma i femininum
372,gentil / gentille,adjektiv,,snäll,"C'est gentil, merci !","Vad snällt, tack!",,artighetsfrasen när någon hjälper dig; uttal [schangti]
373,drôle,adjektiv,,rolig,C'est drôle !,Vad kul!,,"talspråk: marrant, rigolo"
374,joli / jolie,adjektiv,,"söt, fin",C'est joli ici !,Vad fint det är här!,,joli = fint/sött; beau = vackert (större)
375,cher / chère,adjektiv,,dyr; kär,C'est trop cher !,Det är för dyrt!,,pas cher = billigt; Chère Jessica = Kära Jessica (brev)
376,important / importante,adjektiv,,viktig,C'est très important.,Det är väldigt viktigt.,,gratisord!
377,différent / différente,adjektiv,,"annorlunda, olik",C'est différent en France.,Det är annorlunda i Frankrike.,,gratisord!
378,simple,adjektiv,,enkel,C'est simple !,Det är enkelt!,,gratisord! plus simple = enklare
379,fort / forte,adjektiv,,stark; högt,"Plus fort, s'il vous plaît !","Högre, tack!",,"fort = stark, högt OCH duktig: Tu es fort !"
380,meilleur / meilleure,adjektiv,,"bättre, bäst",C'est le meilleur !,Den är bäst!,,"meilleur = adjektiv (bättre sak), mieux = adverb (bättre sätt)"
381,lit,substantiv,m,säng,Kalle dort dans notre lit...,Kalle sover i vår säng...,,Au lit ! = I säng!; grand lit = dubbelsäng (hotellordet)
382,chambre,substantiv,f,"rum, sovrum","Une chambre pour trois, s'il vous plaît.","Ett rum för tre, tack.",,hotellfrasen
383,clé,substantiv,f,nyckel,Où sont mes clés ?!,Var är mina nycklar?!,,universalpaniken
384,fenêtre,substantiv,f,fönster,Je peux ouvrir la fenêtre ?,Får jag öppna fönstret?,,^ = försvunnet s: latinets fenestra
385,lumière,substantiv,f,ljus,Il y a une belle lumière ce soir.,Det är ett fint ljus ikväll.,,filmarens ord; les Lumières = upplysningen
386,toilettes,substantiv,f,toalett,Où sont les toilettes ?,Var är toaletten?,,ALLTID plural; överlevnadsfras nr 1 på resa
387,douche,substantiv,f,dusch,La douche est froide !,Duschen är kall!,,gratisord! prendre une douche = duscha
388,propre,adjektiv,,ren; egen,C'est propre ici !,Vad rent det är här!,,motsats: sale = smutsig; FÖRE substantiv = egen: ma propre maison
389,ouvert / ouverte,adjektiv,,öppen,C'est ouvert ?,Är det öppet?,,skyltparet komplett: ouvert/fermé; particip av ouvrir
390,lentement,adverb,,långsamt,"Plus lentement, s'il vous plaît !","Långsammare, tack!",,"överlevnadstrion komplett: répéter, moins vite, plus lentement"
391,pied,substantiv,m,fot,On y va à pied ?,Ska vi gå dit?,,à pied = till fots; d tyst [pjé]
392,jambe,substantiv,f,ben,J'ai mal aux jambes.,Jag har ont i benen.,,aux = à + les – sista sammandragningen!
393,bras,substantiv,m,arm,Kalle dort dans mes bras.,Kalle sover i min famn.,,s tyst; bras = arm och famn
394,bouche,substantiv,f,mun,Ouvre la bouche !,Gapa!,,matningsfrasen; amuse-bouche = munsbit
395,dent,substantiv,f,tand,Kalle a une dent !,Kalle har fått en tand!,,milstolpemeningen! feminint: la dent – palatstest
396,oreille,substantiv,f,öra,J'ai mal aux oreilles.,Jag har ont i öronen.,,flygplansordet; dire à l'oreille = viska
397,cheveux,substantiv,m,hår,Il a mes cheveux !,Han har mitt hår!,,plural om frisyren; ETT strå = un cheveu; cheval = häst – blanda inte!
398,ventre,substantiv,m,mage,Kalle a mal au ventre.,Kalle har ont i magen.,,mal au ventre/à la tête/aux dents – systemet rullar
399,rire,verb,,att skratta,Kalle rit tout le temps !,Kalle skrattar jämt!,,"je ris; le rire = skrattet; sourire = le, ett leende"
400,pleurer,verb,,att gråta,"Il pleure un peu, mais ça va.","Han gråter lite, men det är lugnt.",,il pleure (gråter) vs il pleut (regnar) – en bokstav skiljer tårar från regn
401,plus ... que,uttryck,,mer ... än,Le français est plus facile que je pense !,Franska är lättare än jag tror!,,jämförelser: plus/moins/aussi ... que; superlativ: le plus ...
402,pire,adjektiv,,värre,C'est pire en hiver.,Det är värre på vintern.,,le pire = det värsta; adjektivens mieux/meilleur-kusin
403,il y a + tid,uttryck,,för ... sedan,"Il y a deux ans, on était deux. Maintenant, trois !",För två år sedan var vi två. Nu tre!,,il y a = det finns OCH för...sedan; était = var (c'était-familjen)
404,venir de + verb,uttryck,,har precis,Je viens de commencer !,Jag har precis börjat!,,ordagrant kommer från att; dåtid utan dåtidsböjning
405,être en train de,uttryck,,hålla på att,Je suis en train d'apprendre le français.,Jag håller på att lära mig franska.,,pågående form – franskans -ing
406,avis,substantiv,m,åsikt,"À mon avis, c'est possible.",Enligt mig är det möjligt.,,à mon avis = diskursguld; d'après moi = enligt mig
407,ça dépend,uttryck,,det beror på,Ça dépend du temps.,Det beror på vädret/tiden.,,dépendre de + ngt; universalsvaret
408,ah bon ?,uttryck,,jaså?,Ah bon ? Raconte !,Jaså? Berätta!,,samtalsbränsle – håller motparten pratande
409,exactement,adverb,,exakt,C'est exactement ça !,Det är precis så!,,gratisord! starkare än c'est ça
410,absolument,adverb,,absolut,Absolument !,Absolut!,,gratisord! entusiastiska ja:et
411,environ,adverb,,ungefär,C'est à environ dix minutes.,Det är ungefär tio minuter bort.,,à peu près = synonym (av ord du kan!)
412,pourtant,adverb,,"ändå, trots det","C'est simple, et pourtant...","Det är enkelt, och ändå...",,kontrastordet
413,d'ailleurs,uttryck,,förresten,"D'ailleurs, on mange quand ?","Förresten, när ska vi äta?",,ailleurs = någon annanstans
414,bref,adverb,,kort sagt,"Bref, c'était super.",Kort sagt: det var toppen.,,enfin bref = hur som helst; avslutar utläggningar
415,sinon,konjunktion,,annars,"Sinon, ça va ?","Annars då, allt bra?",,"även villkor: Viens, sinon je commence sans toi"
416,même si,uttryck,,även om,"Même si c'est difficile, je continue.",Även om det är svårt fortsätter jag.,,projektmotto nr 3
417,genre,uttryck,,typ (talspråk),C'est genre... très français.,Det är typ... väldigt franskt.,,ungdomsspråk – exakt som svenskans typ; strössla varsamt
418,vérité,substantiv,f,sanning,C'est la vérité !,Det är sanningen!,,vrai → vérité; en vérité = i själva verket
419,faute,substantiv,f,fel,"C'est ma faute, désolé.","Det är mitt fel, förlåt.",,C'est pas ma faute ! = klassikern; faute = även språkfel
420,erreur,substantiv,f,misstag,Il y a une erreur dans l'addition.,Det är ett fel på notan.,,gratisord (error)! restaurangkollen
421,aide,substantiv,f,hjälp,Merci pour ton aide !,Tack för din hjälp!,,av aider; À l'aide ! = Hjälp!
422,choix,substantiv,m,val,Bon choix !,Bra val!,,x tyst; kyparens beröm när du beställer rätt
423,choisir,verb,,att välja,Je choisis le poisson.,Jag väljer fisken.,,"choisi = particip; je choisis, tu choisis"
424,compter,verb,,att räkna; räknas,Je compte en français maintenant !,Jag räknar på franska nu!,,compter sur = lita på: Tu peux compter sur moi; par jour = om dagen
425,calculer,verb,,att räkna ut,Je calcule vite.,Jag räknar snabbt.,,gratisord (kalkylera)! le calcul mental = huvudräkning – din sajt på franska
426,mémoriser,verb,,att memorera,Je mémorise cent mots par jour.,Jag memorerar hundra ord om dagen.,,GRATISORD – ditt verb! la mémorisation
427,s'entraîner,verb,,att träna,Je m'entraîne tous les jours.,Jag tränar varje dag.,,l'entraînement = träning; reflexivt
428,prononcer,verb,,att uttala,Comment on prononce ça ?,Hur uttalar man det där?,,inlärarfras; épeler = bokstavera; la prononciation
429,traduire,verb,,att översätta,Tu peux traduire pour moi ?,Kan du översätta åt mig?,,traduit = particip; une traduction
430,corriger,verb,,att rätta,"Corrige-moi, s'il te plaît !","Rätta mig, snälla!",,gratisord (korrigera)! säg det till varje fransman – guld för inlärningen
431,cerveau,substantiv,m,hjärna,"Mon cerveau, c'est mon travail !",Min hjärna är mitt jobb!,,"-eau maskulint, regeln håller; din yrkesbeskrivning nr 2"
432,corps,substantiv,m,kropp,"Le sport, c'est bon pour le corps.",Sport är bra för kroppen.,le sport (m) = sport – gratisord!,ps tyst: [kår]
433,sommeil,substantiv,m,sömn,J'ai besoin de sommeil !,Jag behöver sömn!,,avoir sommeil = vara sömnig – förälderns ord
434,rêve,substantiv,m,dröm,Fais de beaux rêves !,Sov sött!,,godnattfrasen till Kalle; rêver de = drömma om; fais = gör (du-uppmaning av faire)
435,voix,substantiv,f,röst,Kalle connaît ma voix.,Kalle känner igen min röst.,,x tyst [voa]; à voix haute = högt
436,bruit,substantiv,m,"ljud, oväsen",Il y a trop de bruit ici.,Det är för mycket oväsen här.,,trop de + substantiv = för mycket
437,silence,substantiv,m,tystnad,"Silence, Kalle dort !","Tyst, Kalle sover!",,gratisord!
438,chanson,substantiv,f,"låt, sång",C'est ma chanson préférée !,Det är min favoritlåt!,,la chanson française = en hel genre
439,chanter,verb,,att sjunga,Je chante pour Kalle le soir.,Jag sjunger för Kalle på kvällen.,,un chanteur / une chanteuse = sångare
440,danser,verb,,att dansa,On danse ?,Ska vi dansa?,,gratisord!
441,santé,substantiv,f,hälsa,Santé !,Skål!,,À ta santé ! = skål för dig; viktigaste festordet; en bonne santé = frisk
442,malade,adjektiv,,sjuk,Je suis un peu malade.,Jag är lite sjuk.,,tomber malade = bli sjuk; un malade = en patient
443,médecin,substantiv,m,läkare,Il faut voir un médecin ?,Behöver man träffa en läkare?,,"le docteur = gratis synonym; alltid le, även för kvinnor"
444,pharmacie,substantiv,f,apotek,Il y a une pharmacie près d'ici ?,Finns det ett apotek i närheten?,,gröna lysande korset i varje fransk stad
445,médicament,substantiv,m,"medicin, läkemedel",Vous avez un médicament pour la tête ?,Har ni någon medicin mot huvudvärk?,,pour la tête/le ventre = mot huvudet/magen
446,rendez-vous,substantiv,m,"möte, bokad tid",J'ai un rendez-vous à midi.,Jag har ett möte klockan tolv.,,"GRATIS via svenskan! förkortas rdv; läkare, frisör, affärsmöte – allt är rendez-vous"
447,parents,substantiv,m,föräldrar,On est parents maintenant !,Vi är föräldrar nu!,,gratisord! grand-parents = mor-/farföräldrar
448,grands-parents,substantiv,m,mor-/farföräldrar,Kalle a des grands-parents super.,Kalle har toppen-mor-och-farföräldrar.,,"mamie = mormor/farmor, papi = morfar/farfar (smeknamnen)"
449,mari,substantiv,m,"make, man",Son mari est français.,Hennes man är fransk.,,se marier = gifta sig; femme = fru (rang 94)
450,copain / copine,substantiv,m/f,kompis; pojkvän/flickvän,C'est un copain de l'école.,Det är en kompis från skolan.,,"VARNING: un copain = kompis, MON copain = pojkvän – artikeln avgör!"
451,billet,substantiv,m,biljett,"Deux billets pour Paris, s'il vous plaît.","Två biljetter till Paris, tack.",,GRATIS (biljett)! tåg/flyg/konsert = billet; metro/buss = ticket
452,avion,substantiv,m,flygplan,On prend l'avion demain.,Vi flyger imorgon.,,en avion = med flyg; voler = flyga OCH stjäla
453,aéroport,substantiv,m,flygplats,L'aéroport est loin d'ici ?,Är det långt till flygplatsen?,,nästan gratis (airport)
454,bus,substantiv,m,buss,Le bus arrive dans dix minutes.,Bussen kommer om tio minuter.,,gratisord! uttal [byss]
455,métro,substantiv,m,tunnelbana,"On prend le métro, c'est plus simple.","Vi tar metron, det är enklare.",,"gratisord! métro, boulot, dodo = pendla, jobba, sova (franskans ekorrhjul)"
456,vélo,substantiv,m,cykel,On y va à vélo ?,Ska vi cykla dit?,,à vélo = med cykel; svenskans velociped – samma rot!
457,valise,substantiv,f,resväska,Ma valise est trop petite !,Min resväska är för liten!,,faire sa valise = packa
458,sac,substantiv,m,väska,C'est dans mon sac.,Det ligger i min väska.,,sac à dos = ryggsäck; sac à main = handväska
459,passeport,substantiv,m,pass,Voilà mon passeport.,Här är mitt pass.,,gratisord! passe + port
460,monter,verb,,att gå upp; stiga på,On monte ?,Ska vi gå upp/stiga på?,,monter dans le bus/train; être-verb i dåtid: je suis monté
461,descendre,verb,,att gå ner; kliva av,Je descends ici !,Jag kliver av här!,,bussfrasen! je suis descendu i dåtid
462,tourner,verb,,att svänga,Tournez à droite après le pont.,Sväng höger efter bron.,le pont (m) = bro,vägbeskrivningarna kompletta; tourner un film = spela in en film!
463,traverser,verb,,"att korsa, gå över",On traverse ici.,Vi går över här.,,traverser la rue/la France
464,revenir,verb,,att komma tillbaka,Je reviens tout de suite !,Jag kommer strax tillbaka!,,re + venir; je suis revenu i dåtid
465,retourner,verb,,att åka tillbaka,On retourne à l'hôtel ?,Ska vi tillbaka till hotellet?,,"re-mönstret: revenir, retourner, retrouver..."
466,se retrouver,verb,,"att ses, träffas",On se retrouve où ?,Var ses vi?,,mötesfrasen! retrouver = hitta igen: J'ai retrouvé mes clés !
467,se promener,verb,,att promenera,On se promène avec Kalle ?,Ska vi gå en runda med Kalle?,,une promenade = en promenad (gratis!)
468,se reposer,verb,,att vila,Je me repose cinq minutes.,Jag vilar fem minuter.,,"äntligen rätt ord för vila (rester = stanna, minns rang 149!)"
469,s'asseoir,verb,,att sätta sig,Asseyez-vous !,Varsågod och sitt!,,Assieds-toi ! = sätt dig (du-form); je m'assieds
470,se dépêcher,verb,,att skynda sig,"Dépêche-toi, le train part !","Skynda dig, tåget går!",,talspråk: Dépêche !
471,conduire,verb,,att köra,"Jessica conduit, moi, je regarde la carte.","Jessica kör, jag kollar kartan.",,je conduis; conduit = particip; le permis de conduire = körkort
472,rouler,verb,,att rulla; köra,Ça roule ?,Rullar det på? / Allt bra?,,talspråkshälsning; svaret: Ça roule !
473,route,substantiv,f,väg,C'est la bonne route ?,Är det rätt väg?,,nästan gratis (rutt); Bonne route ! = kör försiktigt!
474,pont,substantiv,m,bro,Le pont est très beau le soir.,Bron är jättevacker på kvällen.,,faire le pont = klämdag (bygga bro över helgen)!
475,église,substantiv,f,kyrka,L'église est au centre.,Kyrkan ligger i centrum.,le centre (m) = centrum – gratisord!,"é = försvunnet s-trick funkar inte här, men: ecclésiastique!"
476,château,substantiv,m,slott,On visite un château ?,Ska vi besöka ett slott?,,^ = s: castle! plural: châteaux; Loiredalen väntar
477,marché,substantiv,m,"marknad, torghandel",On va au marché le matin.,Vi går till torget på morgonen.,,bon marché = billigt (ordagrant bra marknad)
478,centre-ville,substantiv,m,"centrum, stadskärna",C'est au centre-ville.,Det är i centrum.,,centre + ville – två kända ord
479,endroit,substantiv,m,"ställe, plats",C'est un bel endroit !,Det är ett fint ställe!,,synonym: le lieu; bel före vokal (regeln från beau)
480,coin,substantiv,m,hörn; ställe,Il y a un petit café au coin.,Det ligger ett litet kafé i hörnet.,,un coin sympa = ett mysigt ställe; du coin = härifrån trakten
481,campagne,substantiv,f,landsbygd,La campagne française est belle.,Den franska landsbygden är vacker.,,à la campagne = på landet; även kampanj (gratis!)
482,nord / sud / est / ouest,substantiv,m,norr / söder / öster / väster,Alingsås est dans l'ouest de la Suède.,Alingsås ligger i västra Sverige.,,alla fyra på en gång; est (öster) stavas som est (är)!
483,banque,substantiv,f,bank,La banque est fermée le week-end.,Banken är stängd på helgen.,,gratisord!
484,ordinateur,substantiv,m,dator,Mon ordinateur est vieux.,Min dator är gammal.,,FALSK VÄN-VARNING: dator heter INTE computer – ordinateur!
485,écran,substantiv,m,skärm,Pas d'écran pour Kalle !,Ingen skärm för Kalle!,,le petit écran = TV:n; le grand écran = bion
486,wifi,substantiv,m,wifi,Vous avez le wifi ?,Har ni wifi?,,gratisord! fransmännen uttalar det [wiffi]
487,mot de passe,substantiv,m,lösenord,"C'est quoi, le mot de passe ?",Vad är lösenordet?,,"mot + passe – ordagrant passerord, som svenskans gamla lösen"
488,vidéo,substantiv,f,video,Ma vidéo a un million de vues !,Min video har en miljon visningar!,un million = en miljon; des vues = visningar,GRATIS och sant! feminint: la vidéo
489,créer,verb,,att skapa,Je crée des vidéos sur internet.,Jag skapar videor på nätet.,internet – gratisord!,"la création, créatif – hela familjen gratis"
490,filmer,verb,,att filma,Je filme tout aujourd'hui.,Jag filmar allt idag.,,gratisord!
491,partager,verb,,att dela,Partagez la vidéo !,Dela videon!,,din CTA! partager = även dela mat: On partage ?
492,poster,verb,,att lägga upp,Je poste ça demain matin.,Jag lägger upp det imorgon bitti.,,gratisord! demain matin = imorgon bitti
493,vendre,verb,,att sälja,Je vends mes livres sur mon site.,Jag säljer mina böcker på min sajt.,,vendu = såld; à vendre = till salu
494,projet,substantiv,m,projekt,J'ai un nouveau projet... un par semaine !,Jag har ett nytt projekt... ett i veckan!,,GRATIS! un par semaine = ett per vecka
495,entreprise,substantiv,f,företag,J'ai une petite entreprise en Suède.,Jag har ett litet företag i Sverige.,,entreprenör-familjen; sant dessutom
496,bureau,substantiv,m,kontor; skrivbord,"Je travaille à la maison, pas au bureau.","Jag jobbar hemma, inte på kontor.",,gratis via byrå! -eau maskulint
497,réunion,substantiv,f,möte,La réunion commence à dix heures.,Mötet börjar klockan tio.,,nästan gratis (reunion); être en réunion = sitta i möte
498,client,substantiv,m,kund,Le client a toujours raison !,Kunden har alltid rätt!,,gratisord! une cliente = kvinnlig kund
499,chef,substantiv,m,chef,"C'est moi le chef... non, c'est Kalle.","Det är jag som är chef... nej, det är Kalle.",,gratisord! chef = även kock (chef de cuisine)
500,but,substantiv,m,mål,Mon but : parler français en un mois.,Mitt mål: prata franska på en månad.,,HALVVÄGS! but = även mål i fotboll; marquer un but = göra mål
501,verre,substantiv,m,glas,Un verre de vin ?,Ett glas vin?,,boire un verre = ta ett glas; verre/vert/vers – samma ljud
502,bouteille,substantiv,f,flaska,"Une bouteille d'eau, s'il vous plaît.","En flaska vatten, tack.",,nästan gratis: butelj!
503,tasse,substantiv,f,kopp,Une tasse de café ? Toujours !,En kopp kaffe? Alltid!,,"nästan gratis: tass... nej, kopp!"
504,morceau,substantiv,m,bit,Un petit morceau de fromage ?,En liten bit ost?,,-eau maskulint; un morceau de = en bit av
505,sucre,substantiv,m,socker,"Sans sucre, merci.","Utan socker, tack.",,nästan gratis (socker); sucré = söt (om mat)
506,sel,substantiv,m,salt,"Le sel, s'il vous plaît ?","Kan jag få saltet, tack?",,GRATIS! bordsfrasen; salé = salt (adjektiv)
507,beurre,substantiv,m,smör,Du pain avec du beurre !,Bröd med smör!,,beurre + baguette = Frankrike i två ord
508,œuf,substantiv,m,ägg,"Deux œufs, s'il vous plaît.","Två ägg, tack.",,UTTALSFÄLLA: un œuf [önöff] men des œufs [dezö] – f:et försvinner i plural!
509,pomme,substantiv,f,äpple,Une pomme pour la route !,Ett äpple för resan!,,pomme de terre = potatis (jordäpple)!
510,fruit,substantiv,m,frukt,Kalle mange des fruits maintenant.,Kalle äter frukt nu.,,GRATIS! t tyst: [frui]
511,légume,substantiv,m,grönsak,Les légumes du marché sont super.,Grönsakerna från torget är toppen.,,maskulint trots -e: le légume
512,soupe,substantiv,f,soppa,Une soupe pour Kalle.,En soppa till Kalle.,,gratisord!
513,gâteau,substantiv,m,"tårta, kaka",Un gâteau pour l'anniversaire !,En tårta till födelsedagen!,,-eau maskulint; ^ = s: gastel... nästan gastronomi!
514,goût,substantiv,m,smak,Ça a bon goût !,Det smakar gott!,,^ = s: goût → gusto; chacun ses goûts = var och en sin smak
515,goûter,verb,,att smaka; mellanmål,Goûte ! C'est délicieux.,Smaka! Det är utsökt.,,le goûter = mellis – helig institution kl 16 i Frankrike
516,sentir,verb,,att känna; lukta,Ça sent bon !,Det luktar gott!,,ça sent bon/mauvais; je sens
517,se sentir,verb,,"att må, känna sig",Je me sens bien ici.,Jag mår bra här.,,se sentir bien/mal
518,préparer,verb,,att förbereda; laga,Je prépare le dîner ce soir.,Jag lagar middagen ikväll.,,gratisord (preparera)!
519,apporter,verb,,att ta med (sak),J'apporte le dessert !,Jag tar med efterrätten!,,apporter = saker; emmener = personer
520,emmener,verb,,att ta med (person),On emmène Kalle partout.,Vi tar med Kalle överallt.,,j'emmène; paret apporter/emmener
521,offrir,verb,,att ge (present); bjuda,C'est moi qui offre !,Jag bjuder!,,c'est moi qui = det är jag som; offert = particip
522,recevoir,verb,,"att få, ta emot",J'ai reçu ton message !,Jag har fått ditt meddelande!,,reçu = particip OCH kvitto – bokföringsordet!
523,prêter,verb,,att låna ut,Tu peux me prêter dix euros ?,Kan du låna mig tio euro?,,låna UT = prêter; låna AV någon = emprunter
524,rendre,verb,,att lämna tillbaka,Je te le rends demain !,Jag lämnar tillbaka den imorgon!,,te + le = två pronomen i rad – nivå 2-flyt!
525,cadeau,substantiv,m,present,Un petit cadeau pour toi !,En liten present till dig!,,-eau maskulint; c'est cadeau ! = det bjuder vi på!
526,voisin / voisine,substantiv,m/f,granne,Nos voisins sont sympas.,Våra grannar är trevliga.,,
527,cousin / cousine,substantiv,m/f,kusin,Tu as des cousins en France ?,Har du kusiner i Frankrike?,,GRATIS – svenskans kusin kommer härifrån!
528,ranger,verb,,att plocka undan,On range avant de partir.,Vi plockar undan innan vi åker.,,avant de + infinitiv = innan man...; småbarnslivets verb
529,nettoyer,verb,,att göra rent,Je nettoie la cuisine.,Jag gör rent i köket.,,net = rent → nettoyer
530,casser,verb,,att ha sönder,C'est cassé !,Den är sönder!,,barnfamiljens ord; se casser = talspråk för att dra
531,réparer,verb,,att laga,Tu peux réparer ça ?,Kan du laga det där?,,gratisord (reparera)!
532,allumer,verb,,"att tända, sätta på",Tu peux allumer la lumière ?,Kan du tända ljuset?,,"motsats: éteindre = släcka, stänga av"
533,pousser,verb,,att trycka; knuffa,Poussez !,Tryck!,,dörrskylten! pousser = även växa: Kalle pousse vite !
534,tirer,verb,,att dra,Tirez !,Drag!,,dörrparet komplett: Poussez/Tirez – nu öppnas alla Frankrikes dörrar åt rätt håll
535,journal,substantiv,m,tidning,C'est dans le journal !,Det står i tidningen!,,nästan gratis (journal); plural: journaux; le journal télévisé = TV-nytt
536,nouvelles,substantiv,f,nyheter,Quelles sont les nouvelles ?,Vad nytt?,,"talspråk: Quoi de neuf ? = Läget, något nytt?; Bonne nouvelle ! = Goda nyheter!"
537,météo,substantiv,f,väderprognos,La météo dit du soleil demain.,Prognosen säger sol imorgon.,,nästan gratis (meteorologi)
538,étoile,substantiv,f,stjärna,"Regarde les étoiles, Kalle.","Titta på stjärnorna, Kalle.",,"É-TRICKET: é i början = försvunnet s! étoile/star, école/school, étudiant/student, étranger/stranger"
539,lune,substantiv,f,måne,La lune est belle ce soir.,Månen är vacker ikväll.,,lunatisk – samma rot!
540,étudiant / étudiante,substantiv,m/f,student,Je suis étudiant... en français !,Jag är student... i franska!,,é = s: student! gratis via tricket
541,étudier,verb,,att studera,J'étudie une heure par jour.,Jag pluggar en timme om dagen.,,é = s: study; par jour = om dagen
542,étranger / étrangère,substantiv,m/f,utlänning; utländsk,Je suis étranger ici.,Jag är utlänning här.,,é = s: stranger; à l'étranger = utomlands
543,dictionnaire,substantiv,m,ordbok,Pas besoin de dictionnaire !,Ingen ordbok behövs!,,nästan gratis (dictionary); pas besoin de = ingen/inget X behövs
544,page,substantiv,f,sida,C'est à la page dix.,Det står på sidan tio.,,"gratisord! -age-undantag nr 3: la plage, la page, l'image – alla feminina"
545,image,substantiv,f,bild,Une image par mot – c'est ma technique !,En bild per ord – det är min teknik!,la technique (f) = teknik – gratisord!,hela minnesmetoden i en mening; -age-undantag nr 4
546,tour,substantiv,m/f,"tur, runda; torn",C'est ton tour !,Din tur!,,"GENUS ÄNDRAR BETYDELSE: le tour = turen (Tour de France), la tour = tornet (la tour Eiffel)!"
547,moitié,substantiv,f,hälften,On a fait la moitié !,Vi har gjort hälften!,,la moitié de = hälften av; moitié-moitié = fifty-fifty
548,reste,substantiv,m,rest,"Le reste, c'est facile.",Resten är lätt.,,gratisord! il reste = det återstår
549,partie,substantiv,f,"del; parti, omgång",Une partie de cartes ?,Ett parti kort?,,faire partie de = ingå i; partie = del OCH spelomgång
550,souvenir,substantiv,m,minne (minnesbild),Un souvenir pour la vie !,Ett minne för livet!,,"GRATIS (souvenir)! le souvenir = minnesbilden, la mémoire = minnesförmågan – dina två yrkesord isär"
551,j'aimerais,uttryck,,jag skulle vilja,J'aimerais bien voir ça !,Det skulle jag gärna vilja se!,,"conditionnel av aimer; mjukare än je veux, varmare än je voudrais"
552,on pourrait,uttryck,,vi skulle kunna,On pourrait essayer ?,Skulle vi kunna testa?,,förslagsformen – artigt sätt att föreslå allt
553,tu devrais,uttryck,,du borde,Tu devrais goûter ça !,Du borde smaka det här!,,rådformen; vous devriez = ni borde
554,ce serait,uttryck,,det skulle vara,Ce serait super !,Det skulle vara toppen!,,serait = conditionnel av être; drömläget
555,quand j'étais petit,uttryck,,när jag var liten,"Quand j'étais petit, j'habitais ici.",När jag var liten bodde jag här.,,"nyckeln till barndomsberättelser; -ais = imparfait: j'étais, j'avais, j'habitais"
556,il paraît que,uttryck,,det sägs att,Il paraît que c'est délicieux.,Det sägs att det är utsökt.,,skvallerfrasen; paraître = verka/synas
557,se passer,verb,,att hända,Qu'est-ce qui se passe ?,Vad händer?,,lär som block: [käskisspass]; Qu'est-ce qui s'est passé ? = Vad hände?
558,se tromper,verb,,att ta fel,"Je me suis trompé, pardon !","Jag tog fel, förlåt!",,inlärarens bästa vän; se tromper de train = ta fel tåg
559,réfléchir,verb,,att fundera,"Attends, je réfléchis...","Vänta, jag funderar...",,reflektera! köper tanketid i samtal
560,reconnaître,verb,,att känna igen,Je reconnais ce mot !,Jag känner igen det där ordet!,,re + connaître; reconnu = particip
561,promettre,verb,,att lova,C'est promis !,Jag lovar!,,promettre de + infinitiv; une promesse = ett löfte
562,souhaiter,verb,,att önska,Je te souhaite bonne chance !,Jag önskar dig lycka till!,,souhaiter la bienvenue = önska välkommen
563,féliciter,verb,,att gratulera,Félicitations !,Grattis!,,"ESSENTIELL – till allt: examen, bebisar, vunna VM"
564,remercier,verb,,att tacka,Je vous remercie !,Jag tackar er!,,formellare än merci; remercier pour = tacka för
565,présenter,verb,,att presentera,Je te présente Jessica.,Det här är Jessica.,,gratisord! introduktionsfrasen; se présenter = presentera sig
566,truc,substantiv,m,"grej, sak","C'est quoi, ce truc ?",Vad är det här för grej?,,talspråkets viktigaste substantiv; synonym: machin
567,mec,substantiv,m,"kille, snubbe",C'est un mec sympa.,Det är en schysst kille.,,talspråk; tjej = une nana
568,type,substantiv,m,"typ, sort; snubbe",C'est mon type de projet !,Det är min typ av projekt!,,gratisord! un type = även en snubbe
569,boulot,substantiv,m,jobb (talspråk),"Le boulot, ça va ?",Hur är det på jobbet?,,"métro, boulot, dodo = pendla, jobba, sova"
570,métier,substantiv,m,yrke,"C'est quoi, ton métier ?",Vad jobbar du med?,,fransmännens riktiga fråga: Qu'est-ce que tu fais dans la vie ?
